Team Number,A: Median HG Attempt,A: Avg. HG Made,T: Avg. HG Attempt,T: Avg. HG Made,C: Attempt Percent,C: Max Rung,C: Avg. Time,P: Avg. Speed,Rank
16,3,1.75,14.67,11.22,77.78,4,10,6.44,23
59,3,2.44,12,11.11,100,4,19.33,5.78,10
179,5,4.11,14.11,12.33,88.89,4,14.25,6.44,16
195,2,1.56,12.44,9.44,75,4,14.83,6.5,17
604,3,2.11,16.14,13,100,4,15.67,7.78,1
620,2,2.13,7.67,3.83,88.89,4,18.57,5.88,45
695,0,0.29,0.86,0.71,87.5,2,5.86,5.71,31
696,3,2.44,16.78,15.11,88.89,4,8.2,7.22,29
862,2.5,2.38,11.5,9.5,66.67,4,21.4,6.38,3
870,2,1.89,15.67,13.44,55.56,4,12.6,6.67,2
987,4.5,3.63,12.22,10.44,88.89,4,15.14,6.78,7
1073,2,2.22,12.88,11.33,77.78,4,24.43,5.89,41
1089,3,2.78,13,10.22,33.33,2,10.67,6.75,26
1114,3.5,2.88,12.14,10.25,87.5,4,19,7.25,4
1138,1.5,1.75,3.5,1.5,77.78,4,21.43,5.33,54
1296,4,3.11,9.67,7.67,75,2,6.75,5.78,24
1323,4,3.56,21.44,20,100,4,12.22,6.78,5
1502,2,1.63,11.22,9.89,100,4,20,5.44,48
1622,2,1,3.83,2.67,88.89,4,11.31,6,72
1690,5,4.44,22.89,20.22,55.56,4,7.75,7.33,6
1700,1,0.86,3.17,2,88.89,3,7.38,5.75,50
1796,4,2.5,15.13,11,66.67,4,12.33,7.38,38
1885,2,1.22,7.44,6,100,4,16.67,5.89,49
2046,4,3.33,13.25,10.25,100,4,7.5,7.22,9
2073,2,1.17,9.29,7.43,85.71,4,15.33,5.14,70
2129,1,0.5,5.56,3.33,88.89,4,16.83,4.5,56
2239,2,1.44,8.14,7.29,100,4,22.44,5.13,46
2451,2,2.14,13.71,10.86,28.57,3,14,6.57,36
2491,0,0.2,0,0,88.89,4,18,4.67,32
2611,2,1.78,8.22,6.22,100,4,16.75,5.11,40
