Team Number,A: Median HG Attempt,A: Avg. HG Made,T: Avg. HG Attempt,T: Avg. HG Made,C: Attempt Percent,C: Max Rung,C: Avg. Time,P: Avg. Speed,Avg Pts. Per Match,Avg. Teleop Acc.,Playoffs Alliance,Comp Rank,Qualified As,
604,3,2.11,16.14,13,100,4,15.67,7.78,51.44,80.54522924,1,1,Captain,604
870,2,1.89,15.67,13.44,55.56,4,12.6,6.67,44.774,85.76898532,1,2,Captain,870
1323,4,3.56,21.44,20,100,4,12.22,6.78,71.24,93.28358209,1,3,Captain,1323
1690,5,4.44,22.89,20.22,55.56,4,7.75,7.33,68.534,88.33551769,1,4,Captain,1690
862,2.5,2.38,11.5,9.5,66.67,4,21.4,6.38,40.5205,82.60869565,1,5,2nd Pick,862
2046,4,3.33,13.25,10.25,100,4,7.5,7.22,50.82,77.35849057,1,6,Captain,2046
1114,3.5,2.88,12.14,10.25,87.5,4,19,7.25,47.145,84.43163097,1,7,1st Pick,1114
59,3,2.44,12,11.11,100,4,19.33,5.78,48.98,92.58333333,1,8,1st Pick,59
3536,2,2,9.89,7.67,100,4,11.5,6,40.34,77.55308392,1,9,Chairman's,3536
987,4.5,3.63,12.22,10.44,88.89,4,15.14,6.78,50.7335,85.43371522,1,10,1st Pick,987
4639,2,1.11,11.44,9.67,88.89,4,13.43,5.44,39.1135,84.52797203,1,11,Wildcard,4639
8733,0,1.67,0,0,88.89,4,12,4,22.0135,0,0,12,Rookie All Star,8733
179,5,4.11,14.11,12.33,88.89,4,14.25,6.44,56.4335,87.38483345,1,13,Captain,179
195,2,1.56,12.44,9.44,75,4,14.83,6.5,38.37,75.88424437,1,14,Captain,195
4907,2,1.67,11,9.88,100,4,4.67,6.11,43.44,89.81818182,1,15,1st Pick,4907
4561,2,1.57,10.5,9.33,87.5,4,13.5,5.5,40.065,88.85714286,1,16,Captain,4561
3928,2,1.89,9.13,8.38,88.89,2,6.63,5.33,31.6534,91.78532311,1,17,Captain,3928
16,3,1.75,14.67,11.22,77.78,4,10,6.44,43.107,76.48261759,1,18,Captain,16
7178,2,1.88,8.56,6,100,4,16.89,5.13,36.52,70.09345794,0,19,2nd Pick,7178
6364,2,1.5,5.33,4,100,4,26.44,5.33,31,75.04690432,0,20,Captain,6364
3284,2,1.43,8,5.13,55.56,4,19,5.14,26.314,64.125,0,21,Chairman's,3284
5727,2,1.78,15.89,12.14,100,4,5.43,7.63,48.4,76.40025173,0,22,1st Pick,5727
4028,4,3.5,14.78,13.44,100,4,18.13,7.44,57.88,90.93369418,1,23,Wildcard,4028
696,3,2.44,16.78,15.11,88.89,4,8.2,7.22,55.3135,90.0476758,1,24,Captain,696
4635,3,1.71,15,14,100,4,16.13,6.13,51.84,93.33333333,1,25,Captain,4635
2642,2,1.63,8.57,7.29,88.89,4,15.75,5.25,36.4335,85.06417736,0,26,Captain,2642
8020,2,1.14,3.5,2.5,88.89,4,27.14,5,24.8935,71.42857143,0,27,E.I. Award,8020
1296,4,3.11,9.67,7.67,75,2,6.75,5.78,34.28,79.31747673,0,28,Chariman's,1296
2491,0,0.2,0,0,88.89,4,18,4.67,16.1335,0,0,29,E.I. Award,2491
5462,2,1.38,8.75,6,88.89,4,22.75,5.22,32.8535,68.57142857,0,30,?? District ??,5462
1089,3,2.78,13,10.22,33.33,2,10.67,6.75,35.5598,78.61538462,0,31,?? District ??,1089
2611,2,1.78,8.22,6.22,100,4,16.75,5.11,36.56,75.66909976,0,32,?? District ??,2611
3654,0,0,0,0,88.89,4,32,4.11,15.3335,0,0,33,Chairman's,3654
2451,2,2.14,13.71,10.86,28.57,3,14,6.57,35.137,79.21225383,0,34,Wildcard,2451
5199,2,2.13,14.67,12.11,77.78,4,15.33,6.75,46.407,82.54942059,1,35,Captain,5199
3218,1,0.89,10.71,8.71,100,4,17.83,5,37.98,81.32586368,0,36,2nd Pick,3218
620,2,2.13,7.67,3.83,88.89,4,18.57,5.88,31.5135,49.93481095,0,37,2nd Pick,620
695,0,0.29,0.86,0.71,87.5,2,5.86,5.71,9.83,82.55813953,0,38,2nd Pick,695
6421,4,2.67,9.78,7,88.89,4,20,5.33,40.0135,71.57464213,0,39,Captain,6421
1073,2,2.22,12.88,11.33,77.78,4,24.43,5.89,45.207,87.96583851,0,40,Captain,1073
1885,2,1.22,7.44,6,100,4,16.67,5.89,33.88,80.64516129,0,41,Wildcard,1885
1700,1,0.86,3.17,2,88.89,3,7.38,5.75,18.329,63.09148265,0,42,E.I. Award,1700
2637,3,2.5,12.5,9.13,66.67,4,14.5,5.25,40.2605,73.04,0,43,E.I. Award,2637
4472,2,1.78,11.44,8.56,77.78,3,16.14,5.44,34.018,74.82517483,0,44,Captain,4472
4159,1,0.63,5.83,4.17,66.67,2,5.33,5.67,16.8602,71.52658662,0,45,Chairman's,4159
3008,0,0.13,0.13,0.13,55.56,2,5.8,3.78,6.1136,100,0,46,E.I. Award,3008
1796,4,2.5,15.13,11,66.67,4,12.33,7.38,44.0005,72.7032386,1,47,1st Pick,1796
4598,1,0.67,4,2.75,100,4,27.56,5,25.18,68.75,0,48,Chairman's,4598
8177,2,1.11,8.38,7.13,100,4,15.22,5.44,35.7,85.08353222,0,49,Captain,8177
2239,2,1.44,8.14,7.29,100,4,22.44,5.13,37.34,89.55773956,0,50,Wildcard,2239
4153,0,0.33,0.43,0.33,100,4,18.25,5.56,18.98,76.74418605,1,51,E.I. Award,4153
6510,1.5,1,5.29,4.29,100,4,22.33,5.75,29.58,81.09640832,0,52,1st Pick,6510
1138,1.5,1.75,3.5,1.5,77.78,4,21.43,5.33,23.667,42.85714286,1,53,Chairman's,1138
5338,0,0.67,0,0,66.67,4,26.5,4.78,14.6805,0,0,54,E.I. Award,5338
1502,2,1.63,11.22,9.89,100,4,20,5.44,43.3,88.14616756,0,55,1st Pick,1502
8849,0,0,0,0,33.33,2,5,7.11,3.9998,0,0,56,2nd Pick,8849
2626,0,0.13,0,0,77.78,4,24,5.22,14.187,0,0,57,Chairman's,2626
2129,1,0.5,5.56,3.33,88.89,4,16.83,4.5,23.9935,59.89208633,0,58,Wildcard,2129
6024,1.5,0.63,5.17,2.17,42.86,2,7,4.88,11.4316,41.9729207,0,59,E.I. Award,6024
6919,2,0.167,11,9,77.78,3,10,5.11,28.446,81.81818182,0,60,1st Pick,6919
8531,1.5,1.25,6.38,5.13,75,2,9,5,21.76,80.40752351,0,61,Rookie All Star,8531
6673,2,1.11,2.22,1.22,66.67,4,34,5.78,18.8805,54.95495495,0,62,1st Pick,6673
3603,2,1.33,9,7.5,75,2,5.71,6.67,26.82,83.33333333,0,63,?? District ??,3603
7174,1,0.43,1.63,0.88,55.56,3,8.25,5.38,11.036,53.98773006,0,64,E.I. Award,7174
7054,1,0.56,7.88,5.38,100,4,12.43,4.67,30,68.27411168,0,65,?? District ??,7054
8742,1,0.5,3.67,3.56,66.67,2,7,4.22,15.1202,97.0027248,0,66,Rookie All Star,8742
5735,2,1.44,7.89,6.22,55.56,4,10.25,5.33,28.534,78.83396705,0,67,?? District ??,5735
8085,2,1.33,5.33,4.17,88.89,4,12.57,5.33,28.9935,78.23639775,0,68,?? District ??,8085
2073,2,1.17,9.29,7.43,85.71,4,15.33,5.14,34.3965,79.97847147,0,69,E.I. Award,2073
8748,0,0.25,0,0,33.33,0,16.5,4.58,3,0,0,70,Rookie All Star,8748
8738,1,0.5,3,1.8,75,4,19,5,18.85,60,0,71,Rookie All Star,8738
1622,2,1,3.83,2.67,88.89,4,11.31,6,24.6735,69.71279373,0,72,Chairman's,1622
7451,2,1.43,4.5,2,14.29,2,7.5,5.13,12.5774,44.44444444,0,73,Chairman's,7451
2718,1,0.75,5.33,3.33,55.56,4,8.8,5.11,19.994,62.47654784,0,74,E.I. Award,2718
4125,1,0.86,7.88,4.88,0,0,120,5.38,15.2,61.92893401,0,75,Chairman's,4125
